# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	80061
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	呵	c=1 d=1 t=45232
chen zhuang 	陈庄	c=3 d=1.98511 t=47924
cheng 	乘	c=1 d=1 t=20723
cheng 	成	c=48 d=1.99501 t=77259
cheng 	称	c=3 d=1 t=53788
cheng 	程	c=1 d=1 t=54728
cheng bao 	成宝	c=7 d=1.03371 t=75889
cheng bao bao 	成宝宝	c=1 d=1 t=51230
cheng ben 	成本	c=4 d=1 t=75384
cheng cheng 	成城	c=4 d=4.65132e-15 t=17463
cheng cheng 	成成	c=18 d=1 t=78448
cheng dan 	承担	c=2 d=1 t=61570
cheng dan de 	承担的	c=1 d=1 t=56613
cheng du 	成都	c=16 d=1 t=51464
cheng du 	程度	c=2 d=1 t=49952
cheng fen 	成分	c=2 d=1.54607 t=31491
cheng fu 	城府	c=2 d=1.99501 t=49386
cheng gong 	成功	c=42 d=1 t=78325
cheng gong gan 	成功感	c=1 d=1 t=72036
cheng guo 	成果	c=1 d=1 t=65195
cheng ji 	成绩	c=8 d=1.00002 t=66888
cheng ji dan 	成绩单	c=10 d=6.96456 t=64340
cheng jian 	城建	c=1 d=1 t=61891
cheng jie 	程介	c=1 d=1 t=20722
cheng kao 	成考	c=2 d=1 t=37496
cheng le 	撑了	c=1 d=1 t=41120
cheng li 	成立	c=2 d=1.99005 t=45767
cheng liang 	乘凉	c=1 d=1 t=19525
cheng liang ceng 	成两层	c=1 d=1 t=55578
cheng nan 	城南	c=1 d=1 t=18939
cheng nian ren 	成年人	c=1 d=1 t=23512
cheng ren 	成人	c=1 d=2.21897e-24 t=17463
cheng ren 	承认	c=10 d=1 t=29799
cheng shan 	成山	c=1 d=1 t=23067
cheng shan lu 	成山路	c=3 d=0.00135358 t=17463
cheng shang qi xia 	承上启下	c=1 d=1 t=67527
cheng shen 	成神	c=1 d=0.000536738 t=17463
cheng shi 	城市	c=4 d=1 t=69417
cheng shu 	成熟	c=0 d=4.48779e-17 t=17463
cheng tian 	成天	c=2 d=2.87396e-08 t=17463
cheng wei 	成为	c=2 d=1 t=58579
cheng wei 	称为	c=9 d=1.00089 t=69082
cheng wei 	称谓	c=1 d=1 t=70965
cheng xu 	程序	c=38 d=1.00009 t=74826
cheng xu yuan 	程序员	c=7 d=1 t=70906
cheng xu yuan zhi ding 	程序员指定	c=1 d=1 t=58762
cheng yuan 	成员	c=36 d=1.93239 t=71415
cheng yuan bian liang 	成员变量	c=2 d=1 t=56850
cheng zai 	承载	c=1 d=1 t=56611
cheng zhen 	城镇	c=1 d=1 t=42078
chi 	吃	c=50 d=2.03498 t=78446
chi 	池	c=3 d=1 t=63327
chi ba 	吃吧	c=2 d=1 t=29852
chi bao 	吃饱	c=2 d=1 t=40780
chi bao bao 	吃抱抱	c=1 d=1 t=33714
chi bu 	吃不	c=1 d=1 t=40051
chi chu 	吃出	c=1 d=8.41173e-25 t=17463
chi cun 	尺寸	c=1 d=1 t=20604
chi dao 	吃到	c=3 d=1 t=79298
chi dao 	迟到	c=2 d=1 t=79299
chi de 	吃得	c=2 d=1 t=17931
chi de 	吃的	c=8 d=1.95123 t=57263
chi dian 	吃点	c=2 d=0.313312 t=28241
chi diao 	吃掉	c=1 d=8.66791e-25 t=17463
chi duo le 	吃多了	c=1 d=1 t=22840
chi fan 	吃饭	c=16 d=1 t=57474
chi fei 	吃肥	c=1 d=1 t=29855
chi ge 	吃个	c=4 d=1 t=41393
chi ge fan 	吃个饭	c=1 d=1 t=39523
chi gu 	持股	c=4 d=2.03684 t=44727
chi gu bi li 	持股比例	c=2 d=1 t=44585
chi guo 	吃过	c=2 d=1 t=27380
chi guo le 	吃过了	c=1 d=1 t=50484
chi huo 	吃货	c=0 d=1.02765e-20 t=17463
chi huo guo 	吃火锅	c=2 d=1.98511 t=17278
chi jiu 	持久	c=1 d=1 t=63605
chi jiu ceng 	持久层	c=2 d=1.54881 t=72511
chi jiu hua 	持久化	c=5 d=1.99005 t=78931
chi jiu xing 	持久性	c=1 d=1 t=64804
chi le 	吃了	c=10 d=1.00381 t=78662
chi mi 	痴迷	c=1 d=1 t=70413
chi rou 	吃肉	c=1 d=1 t=21170
chi sha 	吃啥	c=6 d=1.97531 t=28048
chi shang 	吃上	c=1 d=1 t=27836
chi shao kao 	吃烧烤	c=1 d=1 t=27832
chi shui guo 	吃水果	c=1 d=1.25706e-15 t=17463
chi tu 	吃土	c=1 d=1.05525e-15 t=17463
chi wan 	吃完	c=2 d=1 t=40036
chi wan le 	吃完了	c=1 d=1 t=40348
chi wo 	吃我	c=2 d=1.08511 t=23488
chi wo ba 	吃我吧	c=1 d=1 t=23489
chi yi dian 	吃一点	c=1 d=2.13602e-17 t=17463
chi you 	持有	c=1 d=1 t=56248
chi you zhe 	持有者	c=2 d=1.99005 t=60952
chi zhe ge 	吃这个	c=1 d=1 t=23689
chi zi 	赤子	c=3 d=1.92774 t=51575
chong 	冲	c=5 d=3.97017 t=47798
chong 	虫	c=1 d=8.4539e-25 t=17463
chong 	重	c=7 d=1 t=67703
chong a 	冲啊	c=2 d=0.1 t=52346
chong a he xun 	冲啊和讯	c=1 d=1 t=52347
chong ang 	重昂	c=1 d=1 t=47794
chong bo 	重播	c=1 d=1 t=48102
chong dang 	充当	c=4 d=1 t=64392
chong dian 	充电	c=2 d=1.09608 t=58121
chong ding 	冲顶	c=0 d=0.1 t=50661
chong ding xiang 	重定向	c=3 d=1.87372 t=50663
chong ding xiao nan guo 	冲顶小南国	c=1 d=1 t=50662
chong duo 	充多	c=0 d=4.10573e-29 t=17463
chong duo shao 	充多少	c=1 d=4.12631e-28 t=17463
chong fu 	重复	c=16 d=1.54428 t=66629
chong fu zhi 	重复值	c=1 d=1 t=25127
chong kao 	重考	c=1 d=1 t=33615
chong lai 	重来	c=1 d=1 t=45714
chong le 	冲了	c=1 d=1 t=27229
chong ming ming 	重命名	c=5 d=1 t=74700
chong na lai de 	冲拿来的	c=1 d=6.35961e-29 t=17463
chong ni 	冲你	c=1 d=2.74981e-18 t=17463
chong qi 	重启	c=9 d=1.02169 t=78236
chong qing 	重庆	c=1 d=1 t=31399
chong tu 	冲突	c=10 d=1.90937 t=72302
chong wu 	宠物	c=1 d=1 t=50359
chong xie 	重写	c=14 d=1.04945 t=73637
chong xin 	重新	c=22 d=0.100007 t=78036
chong xin ru ku 	重新入库	c=1 d=1 t=78037
chong zai 	重载	c=6 d=1.03321 t=64561
chong zhi 	充值	c=2 d=1.00024 t=40584
chong zhi 	重置	c=9 d=1 t=73573
chong zhuang 	充装	c=1 d=0.0315873 t=17463
chong zu 	充足	c=1 d=1 t=75223
chou 	臭	c=3 d=1 t=77257
chou bao 	臭宝	c=9 d=1.00228 t=79570
chou bei 	筹备	c=1 d=1 t=35501
chou chang 	惆怅	c=1 d=3.77402e-13 t=17463
chou dao 	抽到	c=0 d=0.1 t=23594
chou dao le 	抽到了	c=1 d=1 t=23595
chou jiang 	抽奖	c=3 d=1.97531 t=70939
chou jiao 	臭脚	c=1 d=1 t=39462
chou kong 	抽空	c=1 d=0.0488012 t=17463
chou qu 	抽取	c=2 d=1 t=37593
chou si 	丑死	c=1 d=3.04056e-24 t=17463
chou ti 	抽屉	c=1 d=1 t=78657
chou xian 	抽闲	c=1 d=1 t=67616
chou xiang 	抽象	c=110 d=1.0628 t=71226
chou xiang chu 	抽象出	c=1 d=1 t=58508
chou xiang fang fa 	抽象方法	c=1 d=1 t=31714
chou xiang hua 	抽象画	c=1 d=1 t=62222
chou xiang jue se 	抽象角色	c=1 d=1 t=62164
chou xiang lei 	抽象类	c=24 d=1 t=69655
chou xiang lei bie 	抽象类别	c=1 d=1 t=57312
chou xiang lei de 	抽象类的	c=1 d=1 t=59284
chou xing 	丑行	c=1 d=1 t=62130
chou xu 	愁绪	c=0 d=0.1 t=64432
chou xu ai na ge 	愁绪唉哪个	c=1 d=1 t=64433
chou zhi 	抽脂	c=1 d=1 t=38914
chu 	出	c=12 d=1.97531 t=75707
chu 	处	c=2 d=1 t=66594
chu 	除	c=14 d=1.99501 t=74872
chu ban 	出版	c=1 d=6.19943e-23 t=17463
chu ban 	初版	c=1 d=6.2305e-23 t=17463
chu bu chu 	出不出	c=1 d=1 t=22742
chu chai 	出差	c=2 d=1.94176 t=73289
chu ci 	初次	c=1 d=1 t=18651
chu cuo 	出错	c=17 d=1 t=48131
chu cuo hou 	出错后	c=3 d=1.99005 t=50708
chu dan 	出单	c=2 d=6.02704e-07 t=17463
chu de 	出的	c=1 d=1 t=36242
chu dui xiang 	处对象	c=1 d=8.86137e-20 t=17463
chu fa 	出发	c=2 d=1 t=19796
chu fa 	处罚	c=1 d=1 t=75555
chu fa 	触发	c=5 d=1 t=70923
chu fa 	除法	c=3 d=1 t=75553
chu fang 	厨房	c=1 d=1 t=27414
chu fei 	除非	c=5 d=1 t=63228
chu han 	出汗	c=2 d=1 t=75862
chu kou 	出口	c=0 d=5.79724e-29 t=17463
chu ku 	出库	c=6 d=2.08967 t=76408
chu ku dan 	出库单	c=2 d=1.99501 t=76401
chu ku xian zhi 	出库限制	c=1 d=1 t=75361
chu lai 	出来	c=37 d=1.00104 t=77261
chu lai bu 	出来不	c=1 d=1 t=65991
chu lai de 	出来的	c=10 d=1 t=75209
chu le 	出了	c=2 d=1 t=75860
chu le 	除了	c=5 d=1 t=74559
chu lei 	触雷	c=1 d=3.91027e-13 t=17463
chu li 	处理	c=48 d=1 t=75734
chu li de 	处理的	c=2 d=1 t=54869
chu li qi 	处理器	c=4 d=1 t=71632
chu men 	出门	c=1 d=1 t=37541
chu mu gong si 	除母公司	c=1 d=1 t=42320
chu ping 	触屏	c=2 d=1.02487 t=51453
chu ping ban 	触屏版	c=2 d=1.00389 t=51456
chu qi 	初期	c=1 d=4.2608e-23 t=17463
chu qin 	出勤	c=1 d=2.35907e-09 t=17463
chu qu 	出去	c=18 d=1 t=61951
chu qu chi 	出去吃	c=1 d=1 t=17291
chu ru jing 	出入境	c=0 d=0.1 t=73402
chu ru jing qu 	出入境去	c=1 d=1 t=73403
chu sheng 	出生	c=3 d=1 t=44873
chu sheng nian yue 	出生年月	c=1 d=1 t=36093
chu sheng ri qi 	出生日期	c=2 d=1.71892 t=44613
chu shi 	初始	c=21 d=0.1 t=72844
chu shi 	初时	c=1 d=1.06676e-25 t=17463
chu shi hua 	初始化	c=82 d=1.01661 t=71134
chu shi si 	初始死	c=1 d=1 t=72845
chu shi zhi 	初始值	c=3 d=1 t=63289
chu shou 	出手	c=1 d=1 t=75454
chu xian 	出现	c=29 d=1 t=75159
chu xian zai 	出现在	c=1 d=1 t=53802
chu yuan 	出院	c=1 d=2.75215e-28 t=17463
chu zhan 	出战	c=1 d=1 t=50105
chu zi 	出资	c=5 d=0.368481 t=45099
chu zi ren 	出资人	c=3 d=1.00046 t=35093
chu zi zheng fu 	出资政府	c=1 d=1 t=45100
chu zuo 	出左	c=1 d=1 t=50707
chuan 	串	c=14 d=1.00438 t=68601
chuan 	传	c=4 d=1 t=79477
chuan 	川	c=0 d=5.00877e-15 t=17463
chuan 	穿	c=5 d=1 t=47735
chuan can 	传参	c=1 d=0.00035443 t=17463
chuan de 	穿的	c=0 d=3.03013e-14 t=17463
chuan di 	传递	c=17 d=2.70149 t=70011
chuan gei 	传给	c=1 d=1 t=56424
chuan hua tong 	传话筒	c=1 d=1 t=17615
chuan jian 	船舰	c=1 d=1 t=52963
chuan mei 	传媒	c=3 d=1 t=55384
chuan ran 	传染	c=1 d=4.96231e-22 t=17463
chuan ru 	传入	c=19 d=0.100766 t=73403
chuan ru jin qu 	传入进去	c=1 d=1 t=73404
chuan sha 	川沙	c=1 d=1 t=65345
chuan shang 	穿上	c=1 d=4.71709e-14 t=17463
chuan shu 	传输	c=2 d=1.76338 t=63642
chuan tong 	串通	c=4 d=2.88886 t=74039
chuan tong 	传统	c=3 d=1.93239 t=74040
chuan tou 	穿透	c=4 d=1 t=21457
chuan xiao 	传销	c=2 d=1.94176 t=26978
chuan xing 	串行	c=1 d=1 t=65099
chuan zhe 	传着	c=2 d=1.99501 t=26564
chuan zhe 	穿着	c=2 d=1 t=47076
chuang 	床	c=4 d=1.96079 t=39797
chuang 	窗	c=1 d=1 t=28360
chuang dian 	床垫	c=1 d=1.04852e-28 t=17463
chuang hu 	窗户	c=1 d=1 t=42009
chuang jian 	创建	c=203 d=3.61354 t=80009
chuang jian ai 	创建唉	c=1 d=1 t=71221
chuang jian an 	创建俺	c=2 d=1 t=71749
chuang jian jian 	创建剪	c=1 d=1 t=51742
chuang jian le 	创建了	c=1 d=1 t=18586
chuang jian lei 	创建类	c=1 d=1 t=56116
chuang jian mo shi 	创建模式	c=1 d=1 t=55432
chuang jian zhe 	创建者	c=2 d=1.99501 t=54105
chuang jin 	闯进	c=0 d=0.1 t=69935
chuang jin lei 	闯进类	c=1 d=1 t=69936
chuang kou 	窗口	c=49 d=1.12124 t=59864
chuang ri qi 	床日期	c=1 d=1 t=27607
chuang sha 	窗纱	c=1 d=1.53141e-14 t=17463
chuang shang 	床上	c=2 d=0.771052 t=17463
chuang zao 	创造	c=1 d=4.27924e-15 t=17463
chui 	锤	c=0 d=0.1 t=40181
chui chui feng 	吹吹风	c=1 d=1 t=39963
chui feng ji 	吹风机	c=2 d=1.94649 t=48826
chui ni 	锤你	c=3 d=1.95123 t=40198
chui wo 	锤我	c=1 d=1 t=47420
chui yi dun 	锤一顿	c=1 d=1 t=40182
chui zi 	锤子	c=1 d=3.98994e-15 t=17463
chun gao 	唇膏	c=1 d=1 t=53056
chun se 	唇色	c=1 d=1 t=33173
chun tian 	春天	c=1 d=1 t=19694
chuo 	戳	c=5 d=1.09163 t=70424
chuo li 	踔厉	c=0 d=0.1 t=68101
chuo li de 	踔厉的	c=1 d=1 t=68102
ci 	次	c=9 d=1 t=70792
ci 	此	c=29 d=1 t=66973
ci 	词	c=4 d=1 t=79289
ci a hui 	此阿辉	c=1 d=1 t=50934
ci a yong 	此阿永	c=1 d=1 t=59908
ci cao zuo 	此操作	c=2 d=6.12835e-05 t=17463
ci cha jian 	此插件	c=1 d=0.509156 t=17463
ci chu 	此处	c=7 d=1 t=56531
ci dai 	磁带	c=1 d=1 t=17694
ci dai ji 	磁带机	c=1 d=1 t=17690
ci dao 	刺刀	c=1 d=1 t=78610
ci de 	次的	c=0 d=0.1 t=35514
ci dian 	词典	c=1 d=1 t=17624
ci fang fa 	此方法	c=7 d=1.28228 t=50623
ci huan jing 	此环境	c=1 d=1 t=33892
ci hui 	词汇	c=1 d=0.951229 t=17463
ci jin cheng 	此进程	c=1 d=1 t=19051
ci jing li 	此经历	c=1 d=4.00721e-07 t=17463
ci ku 	词库	c=7 d=1 t=49926
ci lei 	此类	c=14 d=1.98871 t=74262
ci ming ling 	此命令	c=1 d=0.1 t=74917
ci ming ling hou 	此命令后	c=1 d=1 t=74918
ci mu lu 	此目录	c=5 d=1 t=38228
ci pan 	磁盘	c=6 d=1.27527 t=77840
ci shi 	此时	c=5 d=1 t=65032
ci shu 	次数	c=7 d=1 t=74657
ci tui 	辞退	c=1 d=1 t=45742
ci wen jian 	此文件	c=1 d=1 t=18761
ci wen jian jia 	此文件夹	c=1 d=7.5617e-07 t=17463
ci xiu shi fu 	此修饰符	c=1 d=1.23196e-13 t=17463
ci xu 	次序	c=1 d=1 t=66644
ci xuan xiang 	此选项	c=1 d=1 t=20573
ci ye wu 	此业务	c=1 d=4.94277e-05 t=17463
ci zhi 	此值	c=1 d=0.00145901 t=17463
ci zhu jie 	此注解	c=4 d=1 t=73127
cong 	从	c=63 d=1 t=79880
cong bu 	从不	c=1 d=1 t=79297
cong ci 	从此	c=1 d=1 t=67039
cong er 	从而	c=8 d=1.0398 t=63060
cong gai ji he 	从该集合	c=1 d=1 t=66202
cong ming 	聪明	c=1 d=1 t=18735
cong rong qi 	从容器	c=1 d=1 t=72816
cong shi 	从事	c=2 d=6.73793e-07 t=17463
cong shu ju 	从数据	c=1 d=1 t=71770
cong xiao 	从小	c=1 d=1 t=66734
cong xin 	从新	c=6 d=1.00292 t=71802
cong ye 	从业	c=1 d=1 t=36529
cong yi ge 	从一个	c=1 d=1 t=63196
cong zui di 	从最低	c=1 d=1 t=66610
cong zuo dao you 	从左到右	c=3 d=2.79276 t=65830
cou 	凑	c=1 d=1 t=47842
cou he 	凑合	c=1 d=8.48396e-15 t=17463
cou kai 	凑开	c=1 d=1 t=48041
cu 	簇	c=1 d=1.06942 t=55607
cu 	粗	c=0 d=0.1 t=20370
cu ti 	粗体	c=8 d=1 t=72766
cu wan ou 	粗玩偶	c=1 d=1 t=20371
cu wu 	粗无	c=1 d=1 t=29795
cuan 	窜	c=0 d=0.1 t=34992
cui 	催	c=1 d=6.10713e-23 t=17463
cui pa 	催怕	c=1 d=6.32467e-23 t=17463
cui si 	翠丝	c=0 d=0.1 t=16565
cun 	存	c=3 d=1 t=75381
cun 	寸	c=1 d=1 t=22979
cun 	村	c=4 d=1 t=47896
cun bu 	存不	c=0 d=0.1 t=51196
cun bu jin qu 	存不进去	c=1 d=1 t=51197
cun chu 	存储	c=57 d=1 t=75995
cun chu ku 	存储库	c=1 d=1 t=36687
cun chu qu 	存储区	c=2 d=1.9802 t=63607
cun chui 	存锤	c=1 d=1 t=66331
cun fang 	存放	c=36 d=1.90937 t=79073
cun fang mu lu 	存放目录	c=1 d=1 t=23573
cun fang ru 	存放入	c=1 d=1 t=72352
cun fang xian you 	存放现有	c=1 d=1 t=61334
cun fang zai 	存放在	c=2 d=1 t=79063
cun kuan 	存款	c=19 d=1 t=46425
cun li 	村里	c=1 d=1 t=16764
cun liang 	存粮	c=2 d=1 t=65355
cun qu 	存取	c=4 d=1 t=72370
cun qu su du 	存取速度	c=1 d=1 t=63425
cun ru 	存入	c=2 d=1 t=78909
cun ru jin qu 	存入进去	c=1 d=1 t=72359
cun zai 	存在	c=34 d=1.00003 t=70121
cuo 	搓	c=1 d=1.98614e-14 t=17463
cuo 	错	c=4 d=0.1 t=80003
cuo guo 	错过	c=1 d=8.39743e-05 t=17463
cuo le 	错了	c=7 d=1.00002 t=48481
cuo le ma 	错了嘛	c=1 d=1 t=31065
cuo luan 	错乱	c=1 d=7.34071e-11 t=17463
cuo po 	搓破	c=1 d=2.8044e-14 t=17463
cuo wei 	错位	c=1 d=7.79464e-11 t=17463
cuo wo 	错我	c=1 d=1 t=32775
cuo wu 	错误	c=101 d=1 t=79700
cuo wu lei xing 	错误类型	c=1 d=1 t=19869
cuo wu o 	错误哦	c=1 d=1 t=59477
cuo wu xin xi 	错误信息	c=1 d=0.000916453 t=17463
da 	哒	c=1 d=0.1 t=46516
da 	大	c=36 d=1.05847 t=77452
da 	打	c=20 d=4.22292 t=73641
da 	答	c=1 d=1 t=33636
da an 	答案	c=1 d=1.06561 t=41109
da ao chu 	大熬出	c=1 d=1 t=32453
da bai 	打败	c=1 d=1.14392e-23 t=17463
da bai hua 	大白话	c=2 d=1 t=51014
da bai tui 	大白腿	c=1 d=1 t=26580
da ban 	打扮	c=1 d=3.46661e-15 t=17463
da ban nian 	大半年	c=1 d=1 t=19448
da bao 	打包	c=48 d=0.1 t=77685
da bao e le 	打包饿了	c=1 d=1 t=77686
da bao jian 	大宝剑	c=1 d=1 t=19886
da ben dan 	大笨蛋	c=1 d=1 t=45935
da bian 	答辩	c=1 d=1 t=79493
da bu 	大补	c=1 d=1 t=49145
da bu 	打不	c=0 d=3.08651e-25 t=17463
da bu fen 	大部分	c=2 d=1 t=68998
da bu kai 	打不开	c=2 d=1 t=74966
da bu tong 	打不通	c=1 d=1 t=16470
da bu zhao 	打不找	c=1 d=3.10199e-24 t=17463
da cao yuan 	大草原	c=1 d=1 t=48089
da chang tui 	大长腿	c=2 d=1.66859e-24 t=17463
da che 	打车	c=1 d=8.73539e-28 t=17463
da chuang 	大床	c=1 d=1.40524e-06 t=17463
da chuang fang 	大床房	c=1 d=1.53037e-06 t=17463
da cuo 	打错	c=3 d=1 t=73287
da cuo le 	打错了	c=1 d=9.343e-25 t=17463
da da 	大大	c=2 d=1 t=67729
da da 	打打	c=1 d=1 t=23077
da dan 	大胆	c=0 d=0.1 t=61514
da dan tiao zhan 	大胆挑战	c=1 d=1 t=61515
da dao 	大到	c=0 d=0.1 t=56607
da dao 	达到	c=2 d=1.00045 t=56191
da dao mo kuai 	大到模块	c=1 d=1 t=56608
da de 	大的	c=1 d=1 t=48866
da di 	打的	c=1 d=1.42715e-08 t=17463
da di ji 	打地基	c=1 d=1 t=57479
da dian hua 	打电话	c=10 d=1 t=76628
da die 	大跌	c=1 d=1 t=25517
da duan 	打断	c=3 d=2.6122 t=65512
da duo shu 	大多数	c=1 d=1 t=54605
da er you 	达尔优	c=1 d=1 t=44532
da fa 	大法	c=1 d=0.651469 t=46798
da fa 	打法	c=0 d=1.09622e-23 t=17463
da fa an a ding 	大法氨吖啶	c=1 d=1 t=46778
da fa diao 	打发掉	c=0 d=0.1 t=46709
da fa dui fang 	大法对方	c=1 d=0.959301 t=46813
da fa guan 	大法官	c=4 d=1.99501 t=77796
da fa shi 	大法师	c=2 d=0.1 t=45063
da fa shi da fa shi dui fang 	大法师大法师对方	c=1 d=1.16342e-16 t=17463
da fei ji 	打飞机	c=0 d=1.08978e-28 t=17463
da fen jie ling 	大分界岭	c=0 d=4.4855e-11 t=17463
da fu 	大幅	c=0 d=7.16678e-24 t=17463
da fu ke ji 	大富科技	c=0 d=5.65411e-29 t=17463
da gai 	大概	c=2 d=1 t=77879
da ge 	大哥	c=1 d=1 t=49104
da ge 	打个	c=2 d=1 t=21085
da gong 	打工	c=1 d=9.70776e-05 t=17463
da gong ren 	打工人	c=3 d=1 t=75580
da gong si 	大公司	c=1 d=1 t=45919
da guai 	打怪	c=5 d=2.59362 t=70240
da guo 	打过	c=2 d=1.11503e-08 t=17463
da guo nian 	大过年	c=1 d=1 t=15502
da hao 	打好	c=1 d=6.54104e-07 t=17463
da hong 	大红	c=0 d=0.1 t=39038
da hui 	打会	c=1 d=0.00279479 t=17463
da huo 	大伙	c=0 d=0.1 t=39521
da huo che 	大货车	c=1 d=1 t=46539
da ji 	打击	c=2 d=1 t=46571
da jia 	大家	c=5 d=1 t=75867
da jia kan 	大家看	c=0 d=4.83732e-17 t=17463
da jian 	搭建	c=16 d=1 t=77535
da jie 	大姐	c=4 d=2.83496 t=49103
da jie 	大街	c=1 d=1 t=42307
da jie fang 	搭街坊	c=0 d=0.0950048 t=17463
da jie jie 	大姐姐	c=1 d=4.88843e-22 t=17463
da ka 	打卡	c=27 d=1.11824 t=73809
da ka ka 	打卡卡	c=1 d=1 t=18168
da kai 	打开	c=61 d=1.02315 t=76760
da kai de 	打开的	c=3 d=1.09732e-23 t=17463
da kai yi ge 	打开一个	c=1 d=1 t=46412
da kui 	大亏	c=1 d=0.562705 t=17463
da kuo hao 	大括号	c=1 d=1 t=19695
da lao 	大佬	c=1 d=1 t=77624
da lao ye men 	大老爷们	c=1 d=1 t=39154
da le 	大了	c=1 d=1 t=75230
da le 	答了	c=1 d=1 t=33627
da li 	搭理	c=1 d=1 t=25086
da lian 	大连	c=1 d=1.65153e-20 t=17463
da lian shi 	大连市	c=1 d=1 t=42326
da liang 	大量	c=5 d=1.00003 t=71071
da lu kuai 	大陆块	c=0 d=0.0489192 t=17463
da ma 	大妈	c=1 d=1 t=18850
da ma 	打吗	c=1 d=1 t=19920
da ma jiang 	打麻将	c=2 d=1 t=35290
da ni 	打你	c=5 d=1.81058 t=33452
da niu 	大牛	c=2 d=1.99501 t=57074
da pei 	搭配	c=3 d=1 t=27920
da pi gu 	打屁股	c=1 d=1 t=47397
da qi da luo 	大起大落	c=1 d=1 t=41440
da qing 	大氢	c=1 d=1 t=31083
da quan 	大全	c=1 d=2.41213e-06 t=17463
da rao 	打扰	c=2 d=1.00003 t=49440
da rao wo 	打扰我	c=1 d=5.45871e-26 t=17463
da sa 	搭撒	c=0 d=0.263218 t=24994
da sa fa dian suo fu fei dian shi 	搭撒发电所付费电视	c=1 d=1 t=24972
da sa fa shi da fu 	搭撒发士大夫	c=1 d=1 t=24995
da sha 	大厦	c=1 d=1 t=42305
da sha feng jing 	大煞风景	c=0 d=0.1 t=48708
da shen 	大神	c=1 d=1 t=19299
da shen me 	打什么	c=1 d=0.000261259 t=17463
da sheng 	大声	c=1 d=1 t=22543
da shi 	大事	c=1 d=1 t=16542
da shi 	达式	c=1 d=1 t=47564
da shi da fei 	大是大非	c=1 d=1.88145e-24 t=17463
da shi dai 	大时代	c=0 d=0.1 t=46751
da shi qing 	大事情	c=0 d=0.1 t=47546
da shi qing le 	大事情了	c=1 d=1 t=47547
da shu 	大叔	c=1 d=1 t=20156
da shu jia fa 	大数加法	c=0 d=2.40836e-18 t=17463
da shu ju 	大数据	c=1 d=1 t=34705
da shu ju liang 	大数据量	c=1 d=1 t=34701
da si 	打死	c=2 d=1 t=30993
da suan 	打算	c=4 d=1 t=79709
da tai 	打胎	c=1 d=1 t=55509
da te 	大特	c=7 d=1 t=80060
da te da te sa dan fa sheng de fan 	大特大特撒旦发生的烦	c=1 d=1 t=17445
da te er qie da sa shi dang 	大特而且搭撒适当	c=1 d=1 t=17446
da te re qing 	大特热情	c=1 d=1 t=17464
da ting 	打听	c=1 d=1 t=40095
da tu sha 	大屠杀	c=1 d=1 t=80055
da tui 	大腿	c=1 d=1 t=37571
da wan 	打完	c=2 d=0.100813 t=25066
da wen jian 	大文件	c=1 d=1 t=38211
da wo 	打我	c=5 d=1 t=23039
da wu da 	达乌达	c=0 d=0.1 t=21909
da wu su 	大乌苏	c=1 d=1 t=49154
da xiao 	大小	c=19 d=2.34915 t=63524
da xiao 	大笑	c=2 d=1.99501 t=46840
da xiao xie 	大小写	c=4 d=1.00592 t=61129
da xie 	大写	c=8 d=1 t=79996
da xiong 	大熊	c=1 d=2.83114e-08 t=17463
da xiong di 	大兄弟	c=1 d=1 t=47777
da xue 	大学	c=3 d=1 t=47996
da ye 	大爷	c=1 d=1 t=20158
da yi 	大意	c=0 d=0.0856415 t=17463
da yi 	打一	c=0 d=0.1 t=35005
da yi le 	大意了	c=1 d=0.860708 t=17463
da yi ma 	大姨妈	c=1 d=2.21211e-17 t=17463
da yi zhen 	打一针	c=1 d=1 t=35006
da yin 	打印	c=13 d=1.00196 t=77225
da yin er wei ma 	打印二维码	c=1 d=1 t=75544
da yin ji 	打印机	c=2 d=1.89583 t=17710
da yin jie 	大音阶	c=1 d=1 t=17687
da you xi 	打游戏	c=14 d=1.09163 t=70421
da yu 	大于	c=5 d=1 t=75250
da za 	打杂	c=1 d=0.01649 t=17463
da zhan 	大战	c=1 d=1 t=73701
da zhe 	打折	c=2 d=1 t=39492
da zhen 	打针	c=1 d=0.0151463 t=17463
da zhuan 	大专	c=2 d=0.00628242 t=17463
da zi 	打字	c=1 d=4.64765e-16 t=17463
da zui ba zi 	大嘴巴子	c=1 d=1 t=44394
da zuo 	大作	c=2 d=1 t=36099
dai 	代	c=2 d=1.45841 t=51140
dai 	带	c=14 d=2.84681 t=74137
dai 	待	c=2 d=0.1 t=30277
dai biao 	代表	c=7 d=1 t=68701
dai biao ren 	代表人	c=3 d=1.00068 t=37351
dai bu liao 	待不了	c=1 d=1 t=77679
dai bu qi 	带不起	c=2 d=1 t=49253
dai cai hao 	代采号	c=1 d=1 t=30277
dai cai hao 	待采号	c=1 d=1 t=30278
dai can 	代餐	c=1 d=1 t=74090
dai can shu 	带参数	c=8 d=7.52307 t=74097
dai de 	带的	c=1 d=1 t=24694
dai dian 	带点	c=1 d=4.48932e-20 t=17463
dai dui 	带队	c=1 d=9.1817e-26 t=17463
