# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	15081
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	啊	c=134 d=2.32908 t=15081
fa yi 	发一	c=0 d=0.000810722 t=15081
fa yi ge 	发一个	c=1 d=0.00162866 t=15081
fa yi xia 	发一下	c=1 d=0.00814786 t=15081
fa you jian 	发邮件	c=1 d=9.26767e-18 t=15081
fa zhang 	发张	c=1 d=4.58079e-22 t=15081
fan 	烦	c=2 d=3.4681e-13 t=15081
fan bian yi 	反编译	c=1 d=1 t=14023
fan chi 	饭吃	c=1 d=7.03347e-08 t=15081
fan hui 	返回	c=16 d=0.48921 t=15081
fan hui zhi 	返回值	c=4 d=5.37461e-24 t=15081
fan kang jun 	反抗军	c=0 d=3.78001e-14 t=15081
fan ke xue 	反科学	c=1 d=1.86469e-07 t=15081
fan ren lei 	反人类	c=1 d=1.29623e-23 t=15081
fan sha qiang 	翻啥墙	c=1 d=5.44184e-19 t=15081
fan she 	反射	c=3 d=0.526481 t=15081
fan wei 	范围	c=1 d=1.11742e-12 t=15081
fan xing 	泛型	c=1 d=0.000581442 t=15081
fan ying 	反应	c=0 d=2.66346e-26 t=15081
fan zheng 	反正	c=6 d=7.83104e-07 t=15081
fan zui 	犯罪	c=1 d=2.37784e-14 t=15081
fang 	房	c=2 d=0.00148099 t=15081
fang 	放	c=2 d=0.141564 t=15081
fang an 	方案	c=1 d=7.87298e-11 t=15081
fang bian 	方便	c=1 d=0.304221 t=15081
fang da 	放大	c=1 d=0.00176857 t=15081
fang da sa ga sha du 	放大萨嘎杀毒	c=1 d=1 t=14275
fang dao 	放到	c=1 d=0.000247277 t=15081
fang dian 	放点	c=1 d=1.03203e-18 t=15081
fang du 	防毒	c=1 d=4.67015e-14 t=15081
fang fa 	方法	c=39 d=0.600067 t=15081
fang hua fu 	防化服	c=1 d=4.76449e-14 t=15081
fang huo qiang 	防火墙	c=1 d=2.78463e-19 t=15081
fang ji ao 	方吉奥	c=0 d=1.40224e-16 t=15081
fang jia 	放假	c=1 d=0.0903068 t=15081
fang jian 	房间	c=1 d=3.35373e-14 t=15081
fang jian li 	房间里	c=0 d=9.02012e-24 t=15081
fang pi 	放屁	c=0 d=6.95261e-20 t=15081
fang qi 	放弃	c=2 d=1.99005 t=14956
fang shang 	放上	c=1 d=5.71695e-11 t=15081
fang shang qu 	放上去	c=1 d=2.52969e-07 t=15081
fang shi 	方式	c=8 d=0.000750328 t=15081
fang wen 	访问	c=6 d=4.43312e-11 t=15081
fang wen fa 	访问法	c=1 d=3.8901e-11 t=15081
fang xin 	放心	c=0 d=3.19265e-11 t=15081
fang zhe 	放着	c=1 d=8.1548e-13 t=15081
fang zi 	房子	c=5 d=0.00750728 t=15081
fei 	费	c=1 d=0.0211189 t=15081
fei hua 	废话	c=1 d=5.39888e-14 t=15081
fei ji 	飞机	c=1 d=0.000164928 t=15081
fei li ke si 	菲利克斯	c=0 d=0.1 t=14783
fei nei cun 	费内存	c=1 d=0.212248 t=15081
fei zou 	飞走	c=1 d=4.71388e-06 t=15081
fen 	分	c=7 d=0.162664 t=15081
fen chu 	分出	c=1 d=3.26251e-07 t=15081
fen dan 	分担	c=1 d=4.8024e-19 t=15081
fen fen 	粉粉	c=1 d=9.21831e-14 t=15081
fen ge 	分割	c=3 d=0.000266536 t=15081
fen gei 	分给	c=0 d=6.81842e-26 t=15081
fen gei wo 	分给我	c=1 d=6.85259e-25 t=15081
fen gong si 	分公司	c=1 d=1.29914e-20 t=15081
fen hang 	分行	c=29 d=0.114523 t=15081
fen hang hao 	分行号	c=3 d=1.23579e-26 t=15081
fen hong se 	粉红色	c=0 d=8.94586e-15 t=15081
fen le 	分了	c=1 d=3.75567e-09 t=15081
fen lei 	分类	c=1 d=0.0349094 t=15081
fen li 	分离	c=1 d=7.66529e-20 t=15081
fen qi 	分期	c=5 d=0.000249319 t=15081
fen qian 	分钱	c=1 d=1.06934e-24 t=15081
fen shen 	分身	c=1 d=1.71776e-12 t=15081
fen shen fa shu 	分身乏术	c=0 d=1.26031e-17 t=15081
fen shi an 	分尸案	c=0 d=1.2109e-17 t=15081
fen shi da fu 	分士大夫	c=1 d=0.00103065 t=15081
fen su du fa shi da fu 	分速读法士大夫	c=1 d=1.56262e-16 t=15081
fen xi 	分析	c=4 d=1.13797e-09 t=15081
fen xiang 	分享	c=1 d=1.55509e-18 t=15081
fen zhi 	分支	c=1 d=9.44524e-06 t=15081
fen zhi 	分治	c=1 d=0.000769323 t=15081
fen zhong 	分钟	c=2 d=3.43022e-14 t=15081
feng 	风	c=2 d=6.6079e-09 t=15081
feng fu 	丰富	c=1 d=1 t=14311
feng kuang 	疯狂	c=0 d=0.1 t=14921
feng le 	封了	c=1 d=0.503807 t=14943
feng shan 	风扇	c=1 d=1.31264e-24 t=15081
feng shao feng 	冯绍峰	c=0 d=1.35847e-17 t=15081
feng shu 	丰熟	c=1 d=7.95345e-13 t=15081
feng zhi 	峰值	c=1 d=9.39813e-06 t=15081
feng zhuang 	封装	c=6 d=0.29671 t=15081
feng zhuang cheng 	封装成	c=5 d=0.569333 t=15081
feng zhuang xin xi 	封装信息	c=1 d=1.71718e-08 t=15081
fou 	否	c=0 d=8.16313e-26 t=15081
fu 	付	c=1 d=1.7416e-23 t=15081
fu 	敷	c=1 d=0.000103081 t=15081
fu 	符	c=2 d=1.12593e-13 t=15081
fu 	负	c=0 d=1.97556e-11 t=15081
fu bai 	肤白	c=0 d=1.5794e-25 t=15081
fu bai mao mei 	肤白貌美	c=1 d=1.58731e-24 t=15081
fu dan 	负担	c=1 d=2.22781e-12 t=15081
fu de 	负的	c=2 d=2.48853e-07 t=15081
fu fei ban 	付费版	c=1 d=5.5815e-23 t=15081
fu fei ting 	福费廷	c=1 d=0.036334 t=15081
fu gang ao 	赴港澳	c=0 d=0.1 t=14272
fu hao 	符号	c=3 d=0.0675424 t=15081
fu he 	复合	c=3 d=1.16632e-22 t=15081
fu he 	复核	c=1 d=3.99266e-23 t=15081
fu ji 	腹肌	c=0 d=6.38171e-12 t=15081
fu jian sheng 	福建省	c=0 d=0.1 t=14936
fu jin 	附近	c=0 d=4.91545e-29 t=15081
fu ke si 	福克斯	c=0 d=0.1 t=14580
fu lan ke 	弗兰克	c=0 d=0.242753 t=14929
fu lei 	父类	c=2 d=2.11143e-13 t=15081
fu lei si ke 	弗雷斯科	c=0 d=0.195677 t=14926
fu li 	福利	c=2 d=1.31358e-27 t=15081
fu li ke ji 	复礼克己	c=0 d=5.00963e-17 t=15081
fu shu 	复数	c=1 d=1 t=15011
fu wu 	服务	c=3 d=7.54603e-12 t=15081
fu wu qi 	服务器	c=31 d=0.528905 t=15081
fu yan 	敷衍	c=2 d=1.45384 t=14533
fu yi 	服役	c=0 d=1.02055e-05 t=15081
fu yi ge mian mo 	服役个面膜	c=1 d=0.000102566 t=15081
fu you hua 	负优化	c=1 d=1.98546e-10 t=15081
fu ze 	负责	c=2 d=0.00812927 t=15081
fu ze chi 	负责吃	c=1 d=0.0193512 t=15081
fu zhai lei lei 	负债累累	c=1 d=0.00019647 t=15081
fu zhi 	复制	c=1 d=1.01913e-17 t=15081
fu zhi 	赋值	c=2 d=3.97761e-08 t=15081
fu zhou 	福州	c=1 d=1.67649e-20 t=15081
ga ba 	嘎巴	c=1 d=7.85399e-12 t=15081
ga shi 	伽师	c=0 d=7.56556e-14 t=15081
gai 	改	c=1 d=3.75137e-13 t=15081
gai 	盖	c=1 d=5.84655e-10 t=15081
gai 	该	c=1 d=2.71474e-14 t=15081
gai bian 	改变	c=1 d=1.60966e-12 t=15081
gai bu liao 	改不了	c=1 d=0.000114493 t=15081
gai hao 	改好	c=1 d=5.3766e-08 t=15081
gai hao 	盖好	c=1 d=5.64546e-10 t=15081
gai hao le 	改好了	c=1 d=1.98e-07 t=15081
gai huan 	改换	c=1 d=1.02319e-05 t=15081
gai ku 	改库	c=2 d=1.91851 t=14745
gai le 	改了	c=3 d=0.153355 t=15081
gai lei 	该类	c=1 d=1 t=14851
gai nian 	概念	c=1 d=0.000253537 t=15081
gai shan 	改善	c=3 d=8.62488e-07 t=15081
gai shui jiao 	该睡觉	c=1 d=8.3344e-15 t=15081
gai shui jiao la 	该睡觉啦	c=1 d=2.27321e-14 t=15081
gai wei 	改为	c=8 d=1.13431e-12 t=15081
gai zao 	改造	c=3 d=2.3919e-05 t=15081
gai zen me 	该怎么	c=1 d=8.30795e-26 t=15081
gan 	感	c=1 d=3.82295e-12 t=15081
gan huo 	干活	c=1 d=9.56323e-06 t=15081
gan jian 	杆件	c=2 d=3.45856e-10 t=15081
gan jin 	赶紧	c=12 d=1.40297 t=15081
gan jue 	感觉	c=5 d=4.18603e-05 t=15081
gan ma 	干嘛	c=4 d=2.28242e-17 t=15081
gan mao 	感冒	c=5 d=0.121217 t=15081
gan mao le 	感冒了	c=1 d=0.00262523 t=15081
gan mao yao 	感冒药	c=1 d=6.22838e-19 t=15081
gan sha 	干啥	c=7 d=0.000116879 t=15081
gan sha qu le 	干啥去了	c=1 d=1.47187e-18 t=15081
gan tan hao 	感叹号	c=2 d=7.07602e-20 t=15081
gan xie 	感谢	c=1 d=0.00012909 t=15081
gang 	刚	c=0 d=1.1347e-09 t=15081
gang ba de 	刚八德	c=1 d=7.89335e-12 t=15081
gang cai 	刚才	c=3 d=3.02863e-17 t=15081
gang chu lai 	刚出来	c=1 d=0.666977 t=15081
gang chu qu 	刚出去	c=1 d=0.703191 t=15081
gang hao 	刚好	c=2 d=1.29902e-08 t=15081
gang hui qu 	刚回去	c=1 d=0.00771183 t=15081
gang kai shi 	刚开始	c=1 d=3.53635e-07 t=15081
gang qi lai 	刚起来	c=1 d=1.1396e-08 t=15081
gao 	高	c=3 d=0.733447 t=15081
gao de 	搞得	c=1 d=3.69912e-07 t=15081
gao ding 	搞定	c=1 d=2.51528e-28 t=15081
gao ji 	高级	c=2 d=4.09874e-08 t=15081
gao kao 	高考	c=1 d=2.23009e-24 t=15081
gao qing 	高清	c=1 d=2.04558e-08 t=15081
gao su 	告诉	c=1 d=2.44859e-06 t=15081
gao tie piao 	高铁票	c=1 d=4.58235e-26 t=15081
gao ya guo 	高压锅	c=1 d=1.3318e-18 t=15081
gao zhao 	高招	c=0 d=1.43626e-25 t=15081
gao zhao nong ge 	高招弄个	c=1 d=1.44346e-24 t=15081
gao zheng lv 	高帧率	c=1 d=9.89007e-18 t=15081
gao zhong 	高中	c=1 d=1.45069e-24 t=15081
ge 	个	c=20 d=0.255473 t=15081
ge 	歌	c=0 d=9.93288e-11 t=15081
ge bo 	胳膊	c=1 d=2.10494e-21 t=15081
ge ge 	个个	c=1 d=1.5794e-24 t=15081
ge ge 	哥哥	c=0 d=8.97666e-26 t=15081
ge li 	格力	c=1 d=6.21336e-20 t=15081
ge lian 	个脸	c=0 d=1.01546e-05 t=15081
ge qu 	歌曲	c=2 d=0.00135358 t=15081
ge ren 	个人	c=3 d=3.50116e-07 t=15081
ge shi 	个事	c=1 d=2.47656e-22 t=15081
ge shi 	格式	c=4 d=0.0755205 t=15081
ge shi hua 	格式化	c=11 d=0.116794 t=15081
ge yue 	个月	c=1 d=0.0337087 t=15081
ge zhe 	搁着	c=1 d=1.12826e-08 t=15081
ge zhong 	各种	c=1 d=2.74271e-17 t=15081
ge zi 	个子	c=1 d=1 t=15018
gei 	给	c=18 d=0.307534 t=15081
gei duo 	给多	c=1 d=0.00047367 t=15081
gei duo le 	给多了	c=1 d=1.21152e-22 t=15081
gei le 	给了	c=1 d=3.32984e-05 t=15081
gei ni 	给你	c=33 d=0.278729 t=15081
gei ni ge 	给你个	c=1 d=6.28884e-15 t=15081
gei ni kan 	给你看	c=1 d=8.68147e-14 t=15081
gei ni men 	给你们	c=1 d=0.0187793 t=15081
gei ta 	给他	c=2 d=0.0448245 t=15081
gei wo 	给我	c=31 d=0.0674501 t=15081
gei zan 	给咱	c=3 d=0.0002139 t=15081
gei zhang 	给张	c=2 d=6.45416e-22 t=15081
gei zi ji 	给自己	c=1 d=1.78416e-17 t=15081
gen 	根	c=1 d=1 t=14894
gen 	跟	c=15 d=0.382893 t=15081
gen ben 	根本	c=1 d=3.42706e-20 t=15081
gen ju 	根据	c=6 d=0.00642427 t=15081
gen ni 	跟你	c=7 d=0.683861 t=15081
gen ni ni 	跟你你	c=1 d=5.87066e-29 t=15081
gen shei 	跟谁	c=1 d=3.001e-17 t=15081
gen ta 	跟他	c=0 d=6.00374e-29 t=15081
gen wo 	跟我	c=7 d=5.59242e-06 t=15081
gen wo qu wan 	跟我去玩	c=1 d=3.61836e-12 t=15081
gen xun 	根寻	c=1 d=0.000825105 t=15081
gen zhi qian 	跟之前	c=1 d=7.30908e-19 t=15081
geng 	更	c=2 d=0.000300919 t=15081
geng gai 	更改	c=11 d=1.59731e-07 t=15081
geng huan 	更换	c=1 d=4.12995e-09 t=15081
geng jia 	更加	c=1 d=0.000274654 t=15081
geng xin 	更新	c=12 d=0.096058 t=15081
gong 	供	c=1 d=1 t=13757
gong 	攻	c=1 d=6.71233e-17 t=15081
gong bu 	公布	c=0 d=1.07211e-26 t=15081
gong jin 	公斤	c=1 d=3.22528e-12 t=15081
gong ju 	工具	c=20 d=0.07502 t=15081
gong ju lei 	工具类	c=1 d=1 t=14021
gong ju pao 	工具跑	c=1 d=7.72233e-19 t=15081
gong neng 	功能	c=9 d=0.0241131 t=15081
gong shi 	公式	c=2 d=2.88981e-14 t=15081
gong si 	公司	c=4 d=0.154607 t=15081
gong si de 	公司的	c=0 d=7.26891e-14 t=15081
gong tong 	共同	c=3 d=9.15488e-21 t=15081
gong tong 	共通	c=24 d=0.0165254 t=15081
gong wang 	公网	c=2 d=5.88236e-16 t=15081
gong xi 	恭喜	c=6 d=1.36935e-11 t=15081
gong xi ni 	恭喜你	c=1 d=9.2964e-25 t=15081
gong xiang 	共享	c=1 d=1.57072e-18 t=15081
gong yuan 	公园	c=0 d=5.13732e-19 t=15081
gong zi 	工资	c=1 d=1.21908e-08 t=15081
gong zuo 	工作	c=12 d=0.338068 t=15081
gong zuo de 	工作的	c=1 d=6.83607e-26 t=15081
gou 	够	c=2 d=0.0505395 t=15081
gou 	狗	c=6 d=0.0753722 t=15081
gou 	购	c=0 d=9.78334e-09 t=15081
gou gou 	够够	c=1 d=2.10895e-14 t=15081
gou liang 	狗粮	c=3 d=1.95803e-09 t=15081
gou mai 	购买	c=4 d=0.0223177 t=15081
gou tou 	狗头	c=1 d=2.0061e-14 t=15081
gou yin 	勾引	c=1 d=7.93455e-26 t=15081
gou yin wo 	勾引我	c=1 d=7.51734e-26 t=15081
gou yong 	够用	c=0 d=2.0322e-20 t=15081
gou yong bu 	够用不	c=1 d=2.04238e-19 t=15081
gou zan lia 	狗咱俩	c=1 d=0.0497871 t=15081
gou zao 	构造	c=8 d=1.26007e-12 t=15081
gou zao han shu 	构造函数	c=1 d=6.64328e-13 t=15081
gou zao qi 	构造器	c=3 d=6.21321e-12 t=15081
gu ba 	股吧	c=0 d=8.91034e-27 t=15081
gu bao 	鼓包	c=1 d=7.05768e-19 t=15081
gu ding 	固定	c=4 d=0.0587185 t=15081
gu ge 	谷歌	c=3 d=0.138069 t=15081
gu jia 	骨架	c=1 d=3.78813e-22 t=15081
gu mu li ying 	古墓丽影	c=2 d=9.82517e-05 t=15081
gu niang 	姑娘	c=1 d=1.54812e-24 t=15081
gu tai 	固态	c=1 d=9.90893e-11 t=15081
gu yi 	故意	c=1 d=2.52316e-06 t=15081
gu zhang 	故障	c=3 d=0.000642592 t=15081
gua 	挂	c=2 d=0.00344787 t=15081
gua da feng 	刮大风	c=1 d=0.000221519 t=15081
gua xi xi 	瓜兮兮	c=1 d=1.51041e-28 t=15081
gua xian yu 	挂咸鱼	c=1 d=1.33293e-28 t=15081
gua zai 	挂载	c=2 d=0.000242381 t=15081
guai 	乖	c=1 d=1.86628e-17 t=15081
guai bu de 	怪不得	c=1 d=6.53526e-26 t=15081
guai guai 	乖乖	c=1 d=6.0715e-13 t=15081
guai ni 	怪你	c=1 d=4.33565e-22 t=15081
guai wo 	怪我	c=1 d=8.47434e-24 t=15081
guan 	管	c=0 d=1.33962e-29 t=15081
guan 	馆	c=1 d=3.291e-14 t=15081
guan ai 	关爱	c=0 d=1.54838e-27 t=15081
guan ai tong 	关爱通	c=1 d=1.55615e-26 t=15081
guan bi 	关闭	c=11 d=4.76765e-10 t=15081
guan dao 	管道	c=3 d=0.0163259 t=15081
guan dian 	观点	c=0 d=0.0392586 t=15081
guan fang 	官方	c=2 d=6.37903e-05 t=15081
guan fang ban ben 	官方版本	c=1 d=5.89909e-27 t=15081
guan guan 	管管	c=0 d=5.13907e-23 t=15081
guan guan ni 	管管你	c=1 d=5.16483e-22 t=15081
guan guo 	管过	c=1 d=9.73289e-06 t=15081
guan ji 	关机	c=1 d=1.02246e-26 t=15081
guan jian 	关键	c=1 d=4.34466e-17 t=15081
guan jian zi 	关键字	c=2 d=8.91327e-17 t=15081
guan jun sai 	冠军赛	c=1 d=9.27398e-26 t=15081
guan kan 	观看	c=1 d=4.57768e-14 t=15081
guan li 	管理	c=16 d=0.00699482 t=15081
guan li yuan 	管理员	c=1 d=3.04895e-27 t=15081
guan li zu 	管理组	c=1 d=1 t=14546
guan lian 	关联	c=2 d=0.0561348 t=15081
guan shang 	关上	c=1 d=1.52378e-14 t=15081
guan wang 	官网	c=3 d=2.5705e-05 t=15081
guan xi 	关系	c=4 d=0.000287153 t=15081
guan xin 	关心	c=1 d=5.45314e-14 t=15081
guan yu 	关于	c=1 d=5.04434e-09 t=15081
guang 	逛	c=1 d=1.62246e-17 t=15081
guang gao 	广告	c=2 d=1.512e-11 t=15081
guang jie 	逛街	c=2 d=3.25429e-17 t=15081
gui 	贵	c=2 d=3.67923e-27 t=15081
gui hua 	规划	c=1 d=0.000777055 t=15081
gui le 	贵了	c=1 d=2.13087e-18 t=15081
gui mie zhi ren 	鬼灭之刃	c=5 d=1.21616e-13 t=15081
gui ze 	规则	c=1 d=6.46363e-14 t=15081
gun 	滚	c=2 d=1.97531 t=14383
gun chu lai 	滚出来	c=1 d=1 t=14426
gun dong 	滚动	c=1 d=2.5058e-13 t=15081
gun qu 	滚去	c=1 d=8.61881e-17 t=15081
guo 	过	c=2 d=0.609571 t=15081
guo 	锅	c=2 d=3.68932e-19 t=15081
guo bu qu 	过不去	c=1 d=5.29738e-26 t=15081
guo de 	过得	c=3 d=0.000939653 t=15081
guo fei er 	过菲尔	c=0 d=0.0010358 t=15081
guo guan 	过关	c=1 d=3.62144e-22 t=15081
guo ji 	国际	c=1 d=9.41093e-22 t=15081
guo ji hua 	国际化	c=8 d=0.0329092 t=15081
guo jie 	国结	c=1 d=8.90731e-22 t=15081
guo jie 	过节	c=1 d=6.00374e-28 t=15081
guo lai 	过来	c=6 d=5.06017e-05 t=15081
guo lai gen wo 	过来跟我	c=1 d=4.97177e-15 t=15081
guo lai le 	过来了	c=1 d=1.20277e-25 t=15081
guo lv 	过滤	c=3 d=7.48518e-05 t=15081
guo ma 	过吗	c=0 d=7.41283e-13 t=15081
guo min 	过敏	c=1 d=0.465334 t=15081
guo nei 	国内	c=3 d=8.29671e-14 t=15081
guo nian 	过年	c=4 d=0.0518194 t=15081
guo nian qi jian 	过年期间	c=1 d=0.0195457 t=15081
guo qu 	过去	c=7 d=0.134725 t=15081
guo ran 	果然	c=2 d=9.56648e-09 t=15081
guo wai 	国外	c=3 d=2.6152e-10 t=15081
guo wan 	过万	c=1 d=1.25621e-07 t=15081
guo wo 	过我	c=1 d=8.43207e-24 t=15081
guo yi 	过一	c=1 d=0.000455097 t=15081
guo yi wan 	过一晚	c=1 d=1.40782e-24 t=15081
ha 	哈	c=1 d=3.25936e-18 t=15081
ha ha 	哈哈	c=7 d=0.00123708 t=15081
ha ha ha 	哈哈哈	c=21 d=0.817353 t=15081
ha ka 	哈卡	c=0 d=0.00196437 t=15081
ha sa ke 	哈萨克	c=0 d=0.00196437 t=15081
ha sa ke de jian fei ha ka sa dong jing fen li 	哈萨克的减肥哈卡撒动静分离	c=1 d=0.0197421 t=15081
ha xi 	哈希	c=1 d=0.000754089 t=15081
hai bao shang an 	海豹上岸	c=0 d=0.00220377 t=15081
hai dao chuan 	海盗船	c=1 d=9.81033e-11 t=15081
hai kong jun 	海空军	c=0 d=0.00103063 t=15081
hai pa 	害怕	c=1 d=0.0212797 t=15081
hai wai 	海外	c=1 d=3.78942e-26 t=15081
han 	汗	c=4 d=1.23536e-14 t=15081
han bao 	汉堡	c=1 d=1.15204e-18 t=15081
han guo an 	韩国安	c=0 d=0.00228227 t=15081
han hua 	汉化	c=1 d=5.12842e-27 t=15081
han shu 	函数	c=12 d=1.91933e-12 t=15081
han zi 	汉字	c=0 d=6.73314e-25 t=15081
han zu 	汉族	c=1 d=5.62495e-26 t=15081
hang 	行	c=9 d=0.0662069 t=15081
hang hao 	行号	c=32 d=7.78869e-16 t=15081
hang jia 	航嘉	c=1 d=5.42409e-10 t=15081
hang nei 	行内	c=3 d=2.73818e-07 t=15081
hang wai 	行外	c=1 d=2.68611e-07 t=15081
hang zhou 	杭州	c=1 d=1.70183e-20 t=15081
hao 	号	c=17 d=7.1346e-08 t=15081
hao 	好	c=16 d=0.000314464 t=15081
hao ba 	好吧	c=26 d=0.114178 t=15081
hao bu hao 	好不好	c=1 d=1.39718e-23 t=15081
hao chi 	好吃	c=1 d=2.12906e-09 t=15081
hao chi bu 	好吃不	c=1 d=2.13973e-08 t=15081
hao chi de 	好吃的	c=2 d=5.77213e-22 t=15081
hao de 	号的	c=1 d=6.29526e-27 t=15081
hao de 	好的	c=11 d=0.000251298 t=15081
hao dian 	好点	c=3 d=0.161218 t=15081
hao duo 	好多	c=1 d=6.99103e-25 t=15081
hao gai 	好改	c=1 d=1.68375e-12 t=15081
hao hao 	好好	c=12 d=1.49139 t=15081
hao ji 	好几	c=0 d=3.02231e-13 t=15081
hao ji ben 	好几本	c=1 d=3.03746e-12 t=15081
hao ji ge 	好几个	c=1 d=1.42788e-14 t=15081
hao ji nian 	好几年	c=1 d=8.74757e-15 t=15081
hao kan 	好看	c=4 d=0.00366107 t=15081
hao kan de 	好看的	c=2 d=4.9342e-14 t=15081
hao kan dian 	好看点	c=1 d=1.36153e-13 t=15081
hao kan yi dian 	好看一点	c=1 d=1.29512e-13 t=15081
hao le 	好了	c=12 d=0.592685 t=15081
hao lei 	好嘞	c=1 d=0.0168231 t=15081
hao ma 	号码	c=1 d=2.36067e-17 t=15081
hao ma 	好吗	c=1 d=2.37251e-17 t=15081
hao meng 	好梦	c=2 d=5.662e-15 t=15081
hao miao 	毫秒	c=8 d=5.40124e-09 t=15081
hao qi 	好奇	c=2 d=4.29996e-13 t=15081
hao shi 	好事	c=1 d=1.32151e-15 t=15081
hao shi 	耗时	c=1 d=7.39912e-16 t=15081
hao wan 	好玩	c=1 d=1.16825e-06 t=15081
hao wan de 	好玩的	c=1 d=4.58001e-20 t=15081
hao wan er 	好玩儿	c=0 d=0.0010358 t=15081
hao xiang 	好像	c=3 d=1.70478e-11 t=15081
hao xiao xi 	好消息	c=1 d=6.05789e-16 t=15081
hao zhe 	好这	c=1 d=0.960789 t=15081
he 	和	c=4 d=0.00109465 t=15081
he 	喝	c=5 d=0.00066885 t=15081
he 	核	c=2 d=3.28932e-09 t=15081
he 	盒	c=1 d=3.35977e-22 t=15081
he bi 	何必	c=1 d=4.02169e-20 t=15081
he bing 	合并	c=16 d=0.073417 t=15081
he dian 	喝点	c=1 d=2.03185e-17 t=15081
he guo 	喝过	c=0 d=3.51142e-13 t=15081
he li 	合理	c=1 d=9.46969e-07 t=15081
he liang 	喝凉	c=0 d=0.00269169 t=15081
he liang bei 	喝凉杯	c=1 d=0.0270518 t=15081
he mu 	和睦	c=1 d=1.47899e-16 t=15081
he ni 	和你	c=1 d=3.94205e-20 t=15081
he shen mo 	喝神魔	c=1 d=1.55213e-25 t=15081
he shi 	合适	c=1 d=2.48813e-18 t=15081
he tong 	合同	c=2 d=0.993967 t=15081
he xin 	核心	c=1 d=2.867e-09 t=15081
he yi bei 	喝一杯	c=1 d=2.10788e-08 t=15081
he zhou 	喝粥	c=1 d=6.00068e-22 t=15081
he zi 	盒子	c=1 d=8.93188e-25 t=15081
hei 	嘿	c=1 d=8.14482e-28 t=15081
hei ping 	黑屏	c=1 d=9.29798e-27 t=15081
hei zhi ma 	黑芝麻	c=1 d=1.39405e-26 t=15081
hen 	很	c=5 d=0.0256042 t=15081
hen da 	很大	c=3 d=8.87069e-07 t=15081
hen da de 	很大的	c=1 d=4.60939e-07 t=15081
hen duo 	很多	c=5 d=0.174647 t=15081
hen he shi 	很合适	c=1 d=1.45747e-20 t=15081
hen ke ai 	很可爱	c=1 d=1.43255e-23 t=15081
hen leng 	很冷	c=1 d=0.0203434 t=15081
hen ma 	很吗	c=1 d=6.67431e-09 t=15081
hen qing chu 	很清楚	c=1 d=6.47023e-26 t=15081
hen shao le 	很少了	c=1 d=1.06126e-23 t=15081
hen shu fu 	很舒服	c=2 d=7.24644e-06 t=15081
hen wan 	很晚	c=1 d=1.36412e-06 t=15081
hen you 	很有	c=1 d=7.28276e-06 t=15081
hen zhong yao 	很重要	c=1 d=5.22757e-17 t=15081
heng 	哼	c=11 d=0.025478 t=15081
heng chou chang 	哼惆怅	c=1 d=3.60093e-14 t=15081
heng fu 	横幅	c=1 d=2.55903e-25 t=15081
hong bao 	红包	c=2 d=0.0652781 t=15081
hong jiu 	红酒	c=1 d=3.32351e-12 t=15081
hong se 	红色	c=1 d=2.19577e-18 t=15081
hou 	后	c=25 d=0.0166625 t=15081
hou ban 	后半	c=0 d=0.000726273 t=15081
hou ban nian 	后半年	c=1 d=0.00729913 t=15081
hou de 	后的	c=2 d=0.00344787 t=15081
hou duan 	后端	c=2 d=0.000508015 t=15081
hou hou 	吼吼	c=0 d=3.39469e-27 t=15081
hou jiu 	后就	c=1 d=1.2254e-09 t=15081
hou mian 	后面	c=3 d=0.359539 t=15081
hou mian yi dian 	后面一点	c=1 d=0.00744658 t=15081
hou qu 	后去	c=1 d=1 t=14127
hou tai 	后台	c=4 d=0.0496359 t=15081
hou tian 	后天	c=1 d=0.00300135 t=15081
hou xuan 	候选	c=1 d=7.572e-23 t=15081
hou zhui 	后缀	c=2 d=4.33782e-15 t=15081
hu 	胡	c=0 d=1.2551e-27 t=15081
hu 	虎	c=2 d=1.99834e-20 t=15081
hu die xiao ying 	蝴蝶效应	c=1 d=2.79955e-23 t=15081
hu hao 	呼号	c=0 d=1.6102e-17 t=15081
hu kai 	胡凯	c=7 d=0.000113924 t=15081
hu kou 	户口	c=1 d=2.05863e-24 t=15081
hu la tang 	糊辣汤	c=1 d=9.91567e-19 t=15081
hu lao shi 	胡老师	c=7 d=0.0101791 t=15081
hu lian wang 	互联网	c=2 d=1.79874e-16 t=15081
hu luo 	胡萝	c=2 d=2.03021e-27 t=15081
hu lve 	忽略	c=5 d=8.05007e-08 t=15081
hu lve de 	忽略的	c=1 d=1.34285e-27 t=15081
hu xiang 	互相	c=1 d=1.71537e-25 t=15081
hu yan 	护眼	c=2 d=9.55448e-16 t=15081
hua 	化	c=10 d=0.187777 t=15081
hua 	画	c=1 d=1.15702e-10 t=15081
hua 	花	c=1 d=1.83591e-26 t=15081
hua 	话	c=14 d=0.200145 t=15081
hua bei 	花呗	c=1 d=0.677057 t=15081
hua bu lai 	划不来	c=1 d=1.63905e-19 t=15081
hua ge 	花个	c=0 d=2.08832e-17 t=15081
hua hua zhuang 	化化妆	c=1 d=3.36617e-15 t=15081
hua le 	花了	c=1 d=1.10224e-28 t=15081
